Math,Bio,Interest_Tech,Interest_Art,Group_Work,Logical_Thinking,Likes_Speaking,Career
79,96,1,1,0,0,1,Social Sciences
77,39,1,1,0,0,1,Social Sciences
88,92,0,1,1,0,1,Medicine
94,37,0,1,1,0,0,Design
35,68,0,1,1,0,1,Business
66,38,1,1,0,0,1,Social Sciences
90,87,0,0,1,1,1,Medicine
69,65,1,1,0,0,0,Social Sciences
47,92,1,1,0,1,0,Social Sciences
33,36,0,0,1,1,1,Education
30,84,0,1,1,1,0,Design
30,67,0,1,0,0,0,Design
50,100,0,0,0,1,0,Medicine
64,97,0,0,1,1,1,Medicine
56,85,1,0,0,0,0,Social Sciences
92,81,1,0,0,0,1,Social Sciences
61,84,1,0,1,1,1,IT
78,87,0,1,0,0,0,Medicine
90,38,1,0,0,0,0,Social Sciences
51,70,1,0,1,0,0,Social Sciences
96,59,0,0,1,0,0,Social Sciences
66,42,1,1,1,0,1,Business
52,74,0,0,1,0,1,Education
35,47,1,1,1,0,1,Business
61,71,0,1,1,1,0,Design
65,63,0,1,1,0,1,Business
68,76,1,0,0,1,0,IT
57,53,1,0,0,0,0,Social Sciences
62,91,0,0,0,1,1,Medicine
76,94,0,1,1,0,0,Medicine
30,63,0,1,0,0,1,Design
78,93,0,0,0,1,1,Medicine
55,46,0,0,0,1,0,Social Sciences
96,36,1,0,0,0,0,Social Sciences
91,46,0,0,0,0,0,Social Sciences
58,61,1,1,1,0,1,Business
57,85,0,0,0,1,1,Education
70,80,1,0,0,1,0,IT
48,95,0,0,0,0,0,Medicine
82,75,1,0,1,1,0,Engineering
77,95,1,1,1,1,1,Business
86,65,0,1,1,0,0,Design
74,95,0,0,1,0,1,Medicine
93,96,0,0,1,1,1,Medicine
69,88,0,1,1,0,1,Medicine
59,31,1,1,0,0,1,Social Sciences
60,90,1,0,1,0,1,Social Sciences
37,87,0,1,0,1,0,Medicine
87,93,1,0,0,0,1,Social Sciences
38,35,0,1,0,1,0,Design
32,50,1,1,1,1,0,Social Sciences
91,71,1,1,0,0,0,Social Sciences
83,45,1,1,0,0,1,Social Sciences
88,31,1,1,1,1,1,Engineering
40,31,1,1,0,1,0,Social Sciences
47,91,1,0,1,1,1,IT
96,67,0,1,0,0,1,Design
74,57,0,1,1,0,0,Design
36,51,1,0,0,0,0,Social Sciences
33,52,0,1,1,1,1,Business
62,57,1,0,0,0,1,Social Sciences
99,50,1,0,0,0,1,Social Sciences
75,79,1,1,0,1,1,Social Sciences
88,58,0,1,0,1,1,Design
31,37,0,0,1,0,1,Education
67,77,0,1,1,0,0,Design
60,90,1,0,0,0,0,Social Sciences
44,45,0,0,0,0,1,Education
88,50,0,1,0,1,0,Design
77,64,1,1,0,1,1,Social Sciences
78,61,0,0,1,0,1,Education
32,98,0,0,1,0,0,Medicine
97,90,0,0,0,0,1,Medicine
90,72,0,1,1,0,0,Design
53,40,1,1,0,1,0,Social Sciences
92,88,0,0,0,1,1,Medicine
33,71,1,1,0,1,0,Social Sciences
61,40,0,1,0,0,1,Design
50,73,0,0,0,0,0,Social Sciences
83,51,0,0,1,0,1,Education
94,44,1,1,1,1,1,Engineering
76,75,1,1,1,1,1,Business
62,88,0,0,1,1,1,Medicine
49,67,0,1,1,1,1,Business
42,95,0,0,1,1,1,Medicine
83,55,0,1,1,1,0,Design
51,49,1,0,1,1,1,IT
84,45,1,1,0,0,1,Social Sciences
74,88,0,1,1,0,0,Medicine
64,80,1,0,1,0,0,Social Sciences
86,37,0,0,0,1,1,Education
49,82,0,1,0,0,1,Design
71,58,0,1,0,1,1,Design
100,87,1,0,1,1,1,Engineering
39,61,1,0,0,1,0,IT
66,69,1,1,1,1,0,Social Sciences
40,93,1,0,1,1,1,IT
39,68,1,0,1,0,0,Social Sciences
65,55,1,1,0,1,1,Social Sciences
67,51,1,0,0,0,1,Social Sciences
75,91,0,1,1,1,1,Medicine
53,73,1,1,1,0,0,Social Sciences
94,86,0,1,0,1,1,Medicine
38,51,0,0,1,1,0,Social Sciences
69,46,0,1,0,0,0,Design
68,42,0,1,0,1,1,Design
92,73,1,0,1,0,0,Social Sciences
77,47,1,0,0,1,0,IT
91,42,0,0,0,0,1,Education
89,43,0,1,1,1,0,Design
54,61,0,1,0,1,1,Design
82,96,1,0,0,1,1,Engineering
51,67,1,0,1,1,0,IT
35,61,0,1,0,1,0,Design
78,88,0,0,0,0,1,Medicine
81,70,0,1,0,1,1,Design
51,33,0,0,0,1,1,Education
78,49,1,0,0,1,1,IT
30,44,0,0,1,1,1,Education
52,75,1,1,0,1,0,Social Sciences
88,42,0,0,0,1,0,Social Sciences
90,45,0,1,1,1,0,Design
46,59,0,0,1,1,0,Social Sciences
42,72,0,1,0,1,0,Design
69,44,0,1,1,1,0,Design
82,81,1,0,0,1,0,Engineering
83,30,1,0,0,1,1,Engineering
38,61,0,1,0,0,1,Design
86,37,1,0,1,1,0,Engineering
71,91,0,0,0,0,0,Medicine
46,61,1,0,0,0,1,Social Sciences
52,85,1,1,1,1,0,Social Sciences
93,83,1,0,0,0,0,Social Sciences
40,78,0,0,1,0,1,Education
57,46,1,0,1,1,1,IT
95,67,0,0,0,1,1,Education
78,72,1,1,0,1,1,Social Sciences
61,89,1,0,1,1,0,IT
85,57,0,1,1,1,1,Business
92,33,1,1,0,0,0,Social Sciences
45,85,1,0,1,0,1,Social Sciences
54,63,0,1,1,1,1,Business
55,49,1,1,1,0,0,Social Sciences
53,34,0,1,0,1,0,Design
44,64,1,0,0,1,1,IT
76,63,0,0,1,1,1,Education
33,77,0,1,0,1,0,Design
95,59,0,1,0,0,1,Design
78,91,0,0,1,1,0,Medicine
44,81,0,1,0,0,1,Design
34,99,0,0,1,1,0,Medicine
97,47,0,1,0,1,1,Design
52,93,0,1,1,1,0,Medicine
81,90,1,0,1,0,0,Social Sciences
84,66,1,0,0,1,0,Engineering
98,88,1,1,0,1,1,Engineering
80,59,0,1,1,1,0,Design
92,93,0,0,1,1,1,Medicine
87,85,0,1,0,0,1,Design
30,84,1,1,0,0,0,Social Sciences
94,92,1,1,1,0,0,Social Sciences
51,67,0,0,1,1,1,Education
76,46,0,1,1,0,0,Design
67,74,1,0,1,1,0,IT
90,44,1,0,0,0,0,Social Sciences
60,64,1,1,0,1,1,Social Sciences
78,52,0,1,1,0,0,Design
49,35,1,0,1,1,1,IT
33,46,0,1,1,0,0,Design
73,44,0,0,0,0,1,Education
64,64,0,1,1,0,1,Business
77,73,1,1,0,0,0,Social Sciences
100,79,0,0,1,1,0,Social Sciences
99,87,1,1,0,1,0,Engineering
97,69,0,1,1,1,1,Business
33,74,1,1,1,0,1,Business
60,32,1,1,1,0,0,Social Sciences
60,74,1,1,0,1,1,Social Sciences
86,59,1,1,1,1,0,Engineering
68,89,1,0,1,0,0,Social Sciences
98,35,1,1,0,1,1,Engineering
33,52,1,1,1,1,0,Social Sciences
69,35,1,1,0,0,0,Social Sciences
40,72,0,1,1,0,1,Business
70,34,1,1,1,1,0,Social Sciences
51,94,1,1,1,0,0,Social Sciences
32,38,1,1,0,1,0,Social Sciences
47,52,1,0,0,0,0,Social Sciences
76,59,0,1,1,0,1,Business
54,87,1,0,0,0,0,Social Sciences
77,39,0,0,0,0,0,Social Sciences
74,36,0,0,1,1,1,Education
31,71,1,1,0,0,1,Social Sciences
47,88,1,1,1,0,1,Business
76,77,1,1,1,0,1,Business
31,88,0,0,0,0,1,Medicine
36,92,0,0,1,0,1,Medicine
41,42,1,0,0,0,0,Social Sciences
65,37,0,1,1,1,1,Business
76,59,0,1,1,1,0,Design
81,66,0,0,0,1,0,Social Sciences
75,81,0,0,1,0,1,Education
66,56,0,1,0,1,0,Design
99,92,1,1,1,1,1,Engineering
47,98,1,1,1,0,0,Social Sciences
63,42,0,1,1,0,1,Business
51,81,1,0,1,0,0,Social Sciences
48,67,1,1,0,0,0,Social Sciences
49,38,1,1,1,1,0,Social Sciences
49,66,1,1,1,0,1,Business
63,71,0,1,0,0,1,Design
48,60,1,0,0,0,0,Social Sciences
60,82,1,1,0,1,1,Social Sciences
31,95,1,1,0,1,1,Social Sciences
45,75,0,0,0,0,1,Education
30,40,0,0,1,0,1,Education
79,41,0,0,0,0,1,Education
94,76,1,0,1,0,1,Social Sciences
53,33,1,0,1,0,1,Social Sciences
79,72,0,0,0,1,0,Social Sciences
56,83,1,0,1,1,1,IT
83,59,1,1,1,0,1,Business
39,89,1,1,0,0,1,Social Sciences
71,76,0,1,1,0,1,Business
86,56,0,1,1,1,1,Business
95,41,1,0,1,1,0,Engineering
39,77,1,0,1,1,0,IT
80,65,1,1,0,1,0,Social Sciences
86,95,0,0,1,0,1,Medicine
53,50,1,1,1,0,1,Business
43,63,1,1,1,1,1,Business
99,65,0,1,1,1,0,Design
90,85,0,1,0,0,1,Design
49,47,1,0,0,1,0,IT
45,88,0,1,0,1,0,Medicine
99,41,1,0,0,0,1,Social Sciences
90,100,1,1,0,1,0,Engineering
70,83,0,1,1,0,0,Design
56,72,0,0,0,0,0,Social Sciences
83,91,0,1,1,0,0,Medicine
64,34,0,0,1,0,0,Social Sciences
51,95,0,0,1,0,0,Medicine
30,73,0,1,0,0,0,Design
83,58,1,1,1,0,1,Business
75,96,0,0,1,0,0,Medicine
30,95,0,1,1,1,0,Medicine
80,62,0,1,0,0,0,Design
49,68,1,0,1,0,1,Social Sciences
74,72,0,0,1,0,1,Education
81,82,0,1,0,0,1,Design
71,55,0,0,0,1,0,Social Sciences
49,85,0,1,0,0,1,Design
84,40,1,1,0,0,1,Social Sciences
72,48,1,1,1,1,1,Business
71,94,0,1,1,0,1,Medicine
76,36,0,0,0,1,0,Social Sciences
41,55,1,1,1,0,0,Social Sciences
66,75,0,1,1,0,0,Design
83,86,1,1,1,0,1,Business
78,36,1,1,0,1,1,Social Sciences
74,52,1,1,0,0,0,Social Sciences
55,54,1,0,0,0,1,Social Sciences
